V_flux,R_flux,V_std,B_std,R_std,r_std,g_std
15991.544000119744,-160.96972674535323,13.837,14.753,13.30834595003785,13.559,14.293
12300.13070343761,-34.376517936266055,14.138,14.779,13.73693868281605,13.948,14.437
67215.83401605568,-80.16777107523653,12.283,13.236,11.72731037093111,11.969,12.749
70999.45948660052,-191.303053727241,12.24,12.976,11.78701589704769,12.008,12.592
11556.613693851228,-79.34027977883166,14.238,14.89,13.846823618470854,14.055,14.534
8407.204803372952,428.9426085773873,14.551,15.122,14.158674489023467,14.388,14.846
24564.36591230252,124.66292473794263,13.408,14.015,13.012652535957608,13.224,13.696
43185.686309171535,-249.99089220143574,12.778,13.511,12.316057532172596,12.546,13.141
46356.36061366572,109.36399731360719,12.711,13.574,12.182547312641937,12.415,13.134
55504.55157624724,645.4891670829227,12.493,13.3,12.026191521574566,12.242,12.864
7952.463239372626,-56.09665389809292,14.665,15.254,14.253752460257381,14.476,14.964
21121.150727353466,-137.862009037171,13.527,14.172,13.13586449659349,13.356,13.833
35082.2474982579,-95.13822141946746,13.003,13.786,12.53795382286147,12.766,13.379
9875.281498763688,201.81511315229352,14.459,15.168,14.011688872066616,14.246,14.815
34201.74357350226,65.45552766871856,13.065,13.904,12.533010598031794,12.773,13.49
11564.84372063161,-251.67212534804838,14.14,14.989,13.647208175624527,13.882,14.55
44438.49599340818,-286.24083420932476,12.727,13.331,12.343133232399698,12.574,13.03
22230.972787103517,127.65822790286632,13.525,14.155,13.139034822104467,13.349,13.815
13127.111456783718,154.08134171523102,14.07,15.449,13.162628311884935,13.444,14.807
5566.658540018654,-75.34871510831954,15.011,15.988,14.430838001514003,14.658,15.477
5877.528644389473,118.00491858896225,14.9,15.704,14.364429977289932,14.593,15.305
6714.44815158876,-95.52147413121645,14.813,15.575,14.370786525359577,14.617,15.194
150123.64537435878,128.88364270447232,11.429,12.595,10.77581907645723,11.047,12.015
8729.819691321172,-106.11682442676556,14.483,15.298,13.969426949280848,14.239,14.925
