V_flux,R_flux,V_std,B_std,R_std,r_std,g_std
8811.577153450637,14756.502913100408,15.802,16.508,15.38887963663891,15.619,16.142
6302.539106177243,10849.293508577819,15.875,16.542,15.328009841029525,15.609,16.298
6497.829339695008,9263.108164746513,16.01,16.726,15.605040121120366,15.734,16.249
20954.876584276397,35900.20013974219,16.378,17.196,15.769676003028009,15.918,16.73
5187.340877003205,8691.795839701128,15.28,15.864,14.913877365632096,15.136,15.563
3725.4754254951768,10284.050098733267,14.419,15.698,13.554928841786525,13.859,15.137
7146.112524657787,14312.81151728242,14.07,15.449,13.162628311884935,13.444,14.807
10335.983885922087,16080.252068643425,14.825,15.436,14.434279333838003,14.64,15.107
20955.53391692172,51389.35795803531,15.212,16.311,14.57954125662377,14.81,15.732
14739.515624577265,34318.80458941279,15.976,17.387,14.978466313398942,15.296,16.787
6257.420080019103,10218.404624941431,15.521,16.288,15.046530658591976,15.293,15.914
2885.299656388461,5302.428489657119,14.053,14.946,13.511178652535959,13.743,14.488
3700.520532758193,5872.236748449073,15.371,15.96,14.946126419379258,15.163,15.669
4111.45767211735,6260.168757551092,15.335,16.2,14.822865253595761,15.072,15.77
3993.8618689234686,6702.45557929554,14.966,15.693,14.445262679788039,14.67,15.341
