V_flux,R_flux,V_std,B_std,R_std,r_std,g_std
5682.376107813114,6749.7283037619445,15.855,16.297,15.667169568508706,15.902,16.054
5429.818353455454,7650.418929838106,16.082,16.516,15.612395155185466,15.745,16.267
5594.991987590064,8178.087225368481,15.918,16.506,15.552719152157456,15.825,16.252
18950.459830472777,29699.847273228428,14.459,15.168,14.011688872066616,14.246,14.815
2016.0463444376364,3523.417083999802,16.516,17.598,15.70888115064345,15.963,17.111
5114.090499060134,13170.549167819256,15.976,17.387,14.978466313398942,15.296,16.787
9059.728411524933,18401.8000850961,15.212,16.311,14.57954125662377,14.81,15.732
2067.8308611217353,3764.560845275573,16.678,17.455,16.33735352006056,16.607,17.054
10906.339847820447,15647.44413844178,15.085,15.723,14.64242922028766,14.822,15.365
6983.4256429916095,11042.49675272772,15.565,16.242,15.120795609386827,15.353,15.909
5680.763748416139,8415.713307624246,15.88,16.573,15.461872823618473,15.65,16.176
5822.550508831042,8195.538285847488,15.846,16.65,15.523147615442845,15.765,16.196
3665.5524540065408,3624.0489274586503,16.418,16.396,16.21200757002271,16.31,16.357
