Star,RA,Dec,B, b, V, v,fluxv,fluxb,fluxb
BD+34 1107 ,05 36 22.6583605622,34 08 01.81564763,9.13,14.4,9.13,14.7,,617482,
BD+34 1106 ,05 36 21.9386156196,34 08 08.17593404,8.97,14.3,8.96,14.6,,514599,
Cl* NGC 1960 SAB 93 ,05 36 19.1282898600,34 07 59.610332735,14.514,19.3,13.955,10.1,,55581,
NGC 1960 11 ,05 36 22.1392609543 ,34 07 13.763081685,10.98,12.4,10.99,13,,,
Cl* NGC 1960 SAB 61,05 36 21.2456134790,34 07 06.435734123,13.182,9.9,12.931,10.7,,,
Cl* NGC 1960 SAB 46,5 36 20.7526738496 ,34 06 50.158298869,12.624,11,12.327,11.7,,,
Cl* NGC 1960 SAB 59,5 36 24.4406189057,34 08 58.563743458,13.052,10.7,12.824,11.3,,,
Cl* NGC 1960 SAB 30,05 36 11.5370436197,34 07 06.434138950,11.47,12.2,11.38,12.8,,,
BD+34 1103,05 36 15.8002065945,34 07 59.610332735,14.514,14.5,13.955,14.8,,,
Cl* NGC 1960 SAB 22,05 36 12.5631131467,34 08 58.563743458,10.86,12.8,10.78,13.4,,,
Cl* NGC 1960 SAB 76,05 36 11.4440610076,34 09 33.733280043,14.013,10.3,13.348,10.5,,,
Cl* NGC 1960 SAB 81,05 36 13.5497077738,34 09 25.067325338 ,14.111,9.7,13.529,11.2,,,
Cl* NGC 1960 SAB 99 ,05 36 23.6234165142,34 09 15.015800214,14.746,8.9,14.084,10,,,
Cl* NGC 1960 SAB 117,05 36 25.0175828869 ,34 09 17.460691868,15.341,7.6,14.695,8.5,,,
NGC 1960 3,05 36 21.3882329821,34 09 41.009191332,10.82,12.9,10.72,13.5,,,
NGC 1960 22,05 36 21.5336731683,34 09 51.114834578,12.387,11.6,12.205,12.4,,,
LS V +34 52,05 36 21.0567023953,34 10 16.715162405,9.63,14.5,9.6,14.3,,,
Cl* NGC 1960 SAB 105,05 36 20.0411900989 ,34 09 14.551046727 ,,14.782,9,14.203,10,,
Cl* NGC 1960 SAB 96,05 36 17.8419799422,34 09 14.696365357,14.514,9.2,13.971,10,,,
Cl* NGC 1960 SAB 51,05 36 14.4489442760,34 08 23.890938572,12.679,9.3,12.414,10.1,,,
