# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
625,  0.07,  0,  14, 25.20, 30.77, -159.64, -17.87, -161.00, 2.98, -3.22, -8.67, 1
1621,  0.08,  1,  15, 25.20, 31.77, -161.05, -17.15, -164.07, 2.98, -3.14, -9.14, 1
2617,  0.08,  1,  15, 25.20, 31.02, -156.80, -16.07, -169.30, 2.67, -3.65, -8.51, 1
3613,  0.07,  0,  14, 25.20, 31.60, -141.56, -14.49, -172.32, 2.51, -6.04, -7.61, 1
4608,  0.07,  0,  14, 25.20, 30.60, -132.37, -13.91, -166.52, 2.39, -7.14, -6.51, 1
5604,  0.07,  0,  14, 25.20, 31.52, -139.95, -8.61, -171.71, 1.41, -6.00, -7.14, 1
6600,  0.08,  1,  15, 25.20, 31.35, -137.56, -12.83, -172.42, 2.12, -6.28, -6.86, 1
7596,  0.08,  0,  15, 25.20, 31.85, -123.69, -13.72, 176.51, 2.59, -8.83, -5.88, 1
8592,  0.07,  0,  13, 25.20, 31.18, -112.88, -12.63, 178.71, 2.08, -8.55, -3.61, 1
9588,  0.07,  0,  13, 25.30, 31.27, -127.38, 24.66, 165.73, -3.65, -6.32, -4.82, 1
10583,  0.07,  1,  14, 25.20, 31.18, -121.47, -7.72, 176.75, 1.33, -8.39, -5.14, 1
11579,  0.07,  0,  14, 25.30, 30.60, -133.49, -14.42, -167.53, 2.43, -6.86, -6.51, 1
12575,  0.07,  0,  14, 25.30, 31.52, -117.79, 5.87, -141.93, -1.10, -9.45, -4.98, 1
13571,  0.07,  0,  14, 25.30, 31.44, -115.61, 2.14, -137.59, -0.35, -8.51, -4.08, 1
14567,  0.07,  0,  14, 25.30, 30.68, -97.86, -15.74, -140.47, 2.67, -9.38, -1.29, 1
15563,  0.08,  1,  15, 25.30, 31.27, -88.38, -0.23, -146.24, 0.04, -9.69, 0.27, 1
16558,  0.08,  0,  15, 25.30, 31.44, -87.01, -0.00, -145.42, 0.00, -9.77, 0.51, 1
17554,  0.08,  0,  15, 25.30, 31.10, -73.67, -12.57, -117.40, 1.80, -7.77, 2.28, 1
18550,  0.08,  0,  15, 25.30, 31.60, -90.23, -0.70, -133.18, 0.12, -9.57, -0.04, 1
19546,  0.09,  1,  16, 25.30, 31.27, -92.29, 5.60, -143.94, -1.06, -10.79, -0.43, 1
20542,  0.09,  0,  16, 25.30, 31.77, -89.77, -1.84, -130.49, 0.31, -9.77, 0.04, 1
21537,  0.09,  0,  16, 25.30, 31.35, -88.15, -0.92, -128.73, 0.16, -9.73, 0.31, 1
22533,  0.09,  0,  16, 25.30, 31.60, -85.14, -1.46, -130.54, 0.24, -9.22, 0.78, 1
23529,  0.08,  0,  15, 25.30, 31.35, -105.68, -1.48, -155.82, 0.27, -10.20, -2.86, 1
24525,  0.08,  0,  15, 25.30, 31.02, -89.78, 7.77, -145.45, -1.41, -10.36, 0.04, 1
25521,  0.10,  3,  18, 25.20, 31.27, -88.83, 8.62, -153.55, -1.45, -9.57, 0.20, 1
26517,  0.09,  0,  17, 25.20, 31.02, -86.78, 2.53, -149.77, -0.43, -9.77, 0.55, 1
27512,  0.09,  0,  17, 25.30, 31.10, -86.72, -0.23, -145.82, 0.04, -9.57, 0.55, 1
28508,  0.09,  0,  17, 25.20, 31.02, -88.59, -0.00, -146.55, 0.00, -9.57, 0.24, 1
29504,  0.09,  0,  17, 25.30, 31.02, -87.18, 3.28, -149.45, -0.55, -9.57, 0.47, 1
30500,  0.09,  0,  17, 25.30, 31.02, -87.43, 0.47, -148.41, -0.08, -9.61, 0.43, 1
31502,  94.73,  277,  16620, 25.20, 31.69, -88.38, -0.46, -148.46, 0.08, -9.69, 0.27, 1
32495,  17.44,  0,  3060, 25.30, 30.77, -88.79, -0.48, -149.84, 0.08, -9.30, 0.20, 1
33493,  34.06,  243,  5976, 25.30, 31.18, -86.70, -5.63, -141.59, 0.94, -9.53, 0.55, 1
34486,  34.13,  1,  5988, 25.30, 31.27, -87.76, -0.45, -150.98, 0.08, -10.04, 0.39, 1
35482,  34.20,  1,  6000, 25.20, 31.27, -87.89, 0.23, -136.28, -0.04, -9.57, 0.35, 1
36478,  16.82,  1,  2952, 25.20, 30.85, -88.12, -0.47, -136.79, 0.08, -9.57, 0.31, 1
37474,  16.82,  0,  2952, 25.20, 31.27, -85.93, 6.08, -140.40, -1.06, -9.92, 0.71, 1
38468,  2.94,  0,  516, 25.20, 31.27, -88.13, -0.93, -132.01, 0.16, -9.61, 0.31, 1
39464,  2.94,  0,  516, 25.20, 30.93, -88.34, -1.18, -131.49, 0.20, -9.49, 0.27, 1
40459,  2.94,  1,  517, 25.20, 31.10, -89.57, 7.12, -142.81, -1.29, -10.36, 0.08, 1
41455,  2.94,  0,  517, 25.20, 30.77, -86.37, -2.72, -126.43, 0.47, -9.89, 0.63, 1
42451,  2.94,  0,  517, 25.20, 31.18, -89.09, -1.58, -133.14, 0.27, -9.92, 0.16, 1
43447,  2.94,  0,  517, 25.20, 30.77, -88.86, -0.68, -136.12, 0.12, -9.85, 0.20, 1
44443,  2.95,  1,  518, 25.20, 31.10, -87.65, -0.94, -133.82, 0.16, -9.57, 0.39, 1
45455,  239.74,  701,  42060, 25.20, 31.52, -91.13, -3.84, -141.37, 0.67, -9.92, -0.20, 1
46438,  23.11,  82,  4056, 25.20, 30.93, -90.43, 3.67, -151.71, -0.67, -10.40, -0.08, 1
47432,  23.11,  0,  4056, 25.20, 31.10, -90.00, -0.00, -147.41, 0.00, -9.65, 0.00, 1
48430,  30.16,  103,  5292, 25.20, 30.77, -87.68, -0.23, -143.27, 0.04, -9.69, 0.39, 1
49428,  200.41,  586,  35160, 25.20, 31.02, -89.78, 2.24, -148.87, -0.39, -10.04, 0.04, 1
50420,  30.09,  0,  5280, 25.20, 30.43, -89.35, -3.89, -130.01, 0.71, -10.40, 0.12, 1
51416,  24.55,  1,  4308, 25.20, 30.35, -89.52, -4.03, -127.23, 0.67, -9.45, 0.08, 1
