V_flux, B_flux, V_std, B_std
20442.856326925055,7158.458769630553,14.404,15.015
3212.720058710118,1182.0441655137072,16.523,17.287
13290.548870433957,3908.2449920305457,14.865,15.615
23561.111508024813,6750.14970012386,14.241,15.02
2979.504491532539,445.87065039714184,16.795,17.509
4523.450864696343,1319.3439116523696,16.118,16.631
8695.70276800436,2351.7905991305643,15.399,16.245
5193.193344699719,846.7056318717016,15.91,17.075
15577.523928599216,4842.573223837688,14.656,15.364
3497.855344235437,909.6666304694154,16.261,17.082
53479.75995392738,11899.619024850545,13.351,14.442
149613.8256769935,36762.71047142105,12.27,13.251
15859.983235547314,5316.51572140598,14.604,15.265
3332.3749035113647,725.1470908236349,16.392,17.366
4358.059784920202,1302.7184817920518,16.033,16.973
12943.192595280612,3884.203789796072,14.853,15.622
5107.435080933313,1455.1423551606142,15.802,16.646
6692.883472217749,1826.8491801026234,15.62,16.321
3617.139762141324,1471.3487319439341,16.251,16.82
3805.659494657757,1222.1936594861359,16.204,16.987
53112.21987761642,15136.68641823125,13.385,14.179
4547.886620892992,931.4003486395159,16.073,17.223
6917.434365589203,2070.613865140589,15.435,16.231
23112.65141589191,8280.535968958151,14.284,14.93
12336.97424332887,3466.2594115553015,14.927,15.98
40154.743922930706,11942.995984469802,13.65,14.422
5138.771167550284,1071.8159806322146,15.911,16.899
40807.645052536085,12573.02274885161,13.666,14.4
42165.5031482481,7489.253349190871,13.702,14.968
5190.263151002911,1219.5523862478713,15.985,16.459
3127.4118082721093,612.5637465139409,16.477,17.587
