V_flux,B_flux,V_std,B_std,R_std,r_std,g_std
14703.005124743984,1367.297349465613,12.761,15.034,11.665537471612415,11.97,13.83
24135.085856723854,5422.04038993402,12.221,13.522,11.472080999242998,11.749,12.881
169109.7855206627,86649.8923775607,10.11,10.604,9.722666161998486,10.002,10.432
104413.1896585311,49600.24868171733,10.608,11.158,10.183246025738077,10.379,10.874
45269.813546273646,23398.051935771193,11.535,11.976,11.255361847085542,11.443,11.716
144835.3283856411,70949.80941026428,10.24,10.812,9.859996971990915,10.093,10.535
83944.40375578857,37764.8419218462,10.848,11.471,10.49841180923543,10.704,11.12
75329.02927804508,25306.5770069067,10.977,11.9,10.47101514004542,10.701,11.407
82612.42485723113,39237.98616854098,10.888,11.415,10.57195609386828,10.772,11.117
81405.77991233586,31745.67301886961,11.036,11.676,10.664251324753975,10.874,11.324
102313.62038048058,64452.12087133374,10.631,10.918,10.457484481453445,10.651,10.741
83797.32204043663,53795.96678163914,10.858,11.11,10.694529901589705,10.869,10.936
16712.64996353745,6015.243780606434,12.621,13.397,12.172648750946253,12.384,12.973
101087.80676922174,63143.85919627626,10.659,10.933,10.495617713853141,10.68,10.753
