B_flux,V_flux,V_std,R_std,B_std,r_std,g_std
3045.073348827078,7029.28383042116,13.532,14.244,13.147394398183195,13.349,13.836
5373.757199458557,24101.608974127732,12.221,13.522,11.472080999242998,11.749,12.881
86641.82831937965,168954.57935166234,10.11,10.604,9.722666161998486,10.002,10.432
49649.04332529591,104373.07395375987,10.608,11.158,10.183246025738077,10.379,10.874
23393.53953001433,45265.04197335027,11.535,11.976,11.255361847085542,11.443,11.716
37941.45439535387,84054.43730056478,10.848,11.471,10.49841180923543,10.704,11.12
6240.198289174046,16834.093880275814,12.621,13.397,12.172648750946253,12.384,12.973
4848.525023745562,11124.580892505746,13.022,13.637,12.665429220287661,12.866,13.289
130510.43433342467,185145.43103764375,10.027,10.172,9.74941483724451,10.065,10.253
5170.115806488544,16567.89668678204,12.634,13.639,12.120290688872066,12.334,13.073
