_RAJ2000	_DEJ2000	recno	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Field	nobs	mobs	B-V	e_B-V	Vmag	e_Vmag	Bmag	e_Bmag	g'mag	e_g'mag	r'mag	e_r'mag	i'mag	e_i'mag
301.75115500	+44.20801900	14245110	301.751155	+44.208019	0.722	0.397	20122054	5	21	1.138	0.057	10.840	0.047	11.978	0.033	11.409	0.043	10.498	0.032	10.207	0.043
301.76307400	+44.21756800	14245111	301.763074	+44.217568	0.604	0.566	20122054	2	5	0.821	0.110	15.886	0.109	16.707	0.014					15.178	0.000
301.76956400	+44.22342900	14245112	301.769564	+44.223429	0.754	0.383	20122054	5	19	1.084	0.041	11.423	0.028	12.507	0.030	11.924	0.031	11.129	0.014	10.822	0.043
301.79891400	+44.23178700	14245113	301.798914	+44.231787	0.732	0.478	20122054	4	16	0.691	0.058	14.381	0.046	15.072	0.036	14.674	0.017	14.190	0.010	14.024	0.006
301.80416500	+44.23713000	14245114	301.804165	+44.237130	0.694	1.189	20122054	2	6	1.601	0.088	15.591	0.000	17.192	0.088	16.306	0.102	15.008	0.000		
301.80708100	+44.22940500	14245115	301.807081	+44.229405	0.645	0.618	20122054	5	16	0.477	0.062	12.731	0.052	13.208	0.034	12.927	0.023	12.650	0.011	12.531	0.000
301.81401600	+44.23711000	14245116	301.814016	+44.237110	0.729	0.394	20122054	3	13	0.759	0.027	15.084	0.020	15.842	0.018	15.393	0.043	14.880	0.097	14.538	0.000
301.81983600	+44.26816700	14245117	301.819836	+44.268167	1.277	0.643	20122054	3	9	0.822	0.127	16.093	0.076	16.914	0.101	16.477	0.000	15.908	0.000	16.069	0.000
301.82337700	+44.25295500	14245118	301.823377	+44.252955	0.781	0.779	20122054	3	12	0.746	0.119	16.303	0.065	17.049	0.099	16.714	0.042	16.157	0.143		
301.82521900	+44.26292700	14245119	301.825219	+44.262927	0.672	0.649	20122054	3	10	0.722	0.095	15.750	0.070	16.473	0.065	16.023	0.041	15.558	0.023		
301.78702600	+44.24313000	14245122	301.787026	+44.243130	1.047	0.591	20122054	4	16	0.820	0.053	16.057	0.043	16.877	0.030	16.381	0.087	15.884	0.017		
301.79146300	+44.27387700	14245123	301.791463	+44.273877	0.818	0.603	20122054	4	15	0.665	0.050	15.128	0.047	15.793	0.016	15.456	0.040	14.932	0.055	14.637	0.000
301.79841200	+44.27947100	14245124	301.798412	+44.279471	0.994	0.428	20122054	5	21	0.617	0.049	12.591	0.033	13.208	0.037	12.841	0.047	12.432	0.015	12.235	0.006
301.80181000	+44.25894100	14245125	301.801810	+44.258941	1.002	0.566	20122054	5	15	0.303	0.072	13.400	0.062	13.702	0.037	13.489	0.014	13.395	0.052	13.325	0.000
301.80781800	+44.27481200	14245126	301.807818	+44.274812	0.996	0.428	20122054	2	8	0.819	0.049	15.539	0.000	16.358	0.049	15.882	0.030	15.331	0.033		
301.87638500	+44.28773700	14245134	301.876385	+44.287737	0.811	0.588	20122054	3	13	0.850	0.044	14.811	0.037	15.662	0.024	15.200	0.000	14.577	0.031	14.209	0.000
301.84749800	+44.26967400	14245140	301.847498	+44.269674	0.853	0.827	20122054	4	11	2.451	0.187	15.184	0.109	17.635	0.152	16.547	0.000	14.287	0.000	13.065	0.000
301.81117800	+44.30058500	14245141	301.811178	+44.300585	0.614	0.369	20122054	3	10	0.602	0.052	14.966	0.051	15.568	0.011	15.236	0.006	14.779	0.006		
301.82386000	+44.34620300	14245142	301.823860	+44.346203	0.981	0.490	20122054	5	19	0.133	0.065	11.315	0.053	11.447	0.037	11.288	0.007	11.480	0.203	11.381	0.015
301.84131700	+44.31498700	14245143	301.841317	+44.314987	0.945	0.482	20122054	4	18	0.698	0.053	14.803	0.027	15.500	0.045	15.084	0.035	14.569	0.053	14.405	0.006
301.86089400	+44.31967900	14245144	301.860894	+44.319679	1.027	0.493	20122054	4	15	0.720	0.069	14.973	0.043	15.692	0.055	15.302	0.052	14.734	0.023	14.529	0.000
301.86913400	+44.32195600	14245145	301.869134	+44.321956	1.097	1.045	20122054	2	6	0.849	0.000	15.611	0.000	16.459	0.000	16.011	0.047	15.373	0.021		
301.87044800	+44.32773300	14245146	301.870448	+44.327733	0.645	0.490	20122054	4	11	0.715	0.037	14.376	0.019	15.091	0.033	14.697	0.015	14.165	0.000	13.924	0.000
301.88144900	+44.33662700	14245147	301.881449	+44.336627	1.020	0.462	20122054	3	11	0.494	0.035	14.100	0.027	14.594	0.023	14.300	0.010	13.918	0.026	13.730	0.000
301.93476600	+44.38194800	14245212	301.934766	+44.381948	1.005	0.367	20122054	3	11	0.760	0.026	13.758	0.005	14.518	0.026	14.086	0.052	13.547	0.054	13.209	0.000
301.88864200	+44.37784500	14245223	301.888642	+44.377845	0.868	0.392	20122054	4	17	0.399	0.029	11.988	0.019	12.387	0.022	12.113	0.023	11.921	0.081	11.759	0.012
